method,eps,alpha,k,trial,seed,wall_sec,frob_resid_noisy,mahal_resid_noisy,frob_err_true,mahal_err_true,rel_frob_err_true,fms
Oracle-AMDM,0.01,1.1,10,0,467333,0.04939866065979004,0.10498053722005683,0.0416226577419721,0.1056992171881577,0.041353111507834946,0.44804248578884864,0.6310498247876843
AMDM,0.01,1.1,10,0,467333,0.04579615592956543,0.017961021644093605,0.0012084381999091628,0.02122640756728577,0.0014334149103090224,0.08997542899380584,0.9961485049187075
ALS,0.01,1.1,10,1,568443,0.037468910217285156,0.07292280909238082,0.04004434993429599,0.07352039171729606,0.040289201854469076,0.3082156773410929,0.6862949086907868
Oracle-AMDM,0.01,1.1,10,1,568443,0.04952716827392578,0.1049127123016106,0.04012408976438238,0.10476701200230389,0.040193078619557544,0.43920924267458594,0.6592819281354302
AMDM,0.01,1.1,10,1,568443,0.044412851333618164,0.006637921665304154,0.0001492050453462831,0.007381519938147916,0.00023273329757407773,0.03094515840300961,0.9994763245808146
ALS,0.01,1.1,10,2,769553,0.03646588325500488,0.01472463608304279,0.0008703371989636667,0.014418583958593405,0.0006218040455001619,0.059373372988042246,0.9982407562642208
Oracle-AMDM,0.01,1.1,10,2,769553,0.04913520812988281,0.0942881649051123,0.04131927032070236,0.09397490439162237,0.040564063391127475,0.3869733023702363,0.7449232800997108
AMDM,0.01,1.1,10,2,769553,0.04645705223083496,0.015328785521890723,0.0008130839420485258,0.013905030561906988,0.0005570895521851927,0.057258644006451385,0.9985849291153279
ALS,0.01,1.1,10,3,1070663,0.047247886657714844,0.08412208277620184,0.04059169738605501,0.08559386202878659,0.04066498459239455,0.3582442577075093,0.7778008197121821
Oracle-AMDM,0.01,1.1,10,3,1070663,0.07393002510070801,0.009351266516578562,0.000295901494539888,0.011067315522641627,0.0004275297463063042,0.04632110457745344,0.9989315480741432
AMDM,0.01,1.1,10,3,1070663,0.06838822364807129,0.009345887332946022,0.0002967960839756842,0.01123890199698742,0.00043943739316635726,0.047039262020962466,0.9988971380280114
ALS,0.01,1.1,10,4,1471773,0.05877876281738281,0.010065060848236483,0.0004257060688813552,0.008453841909393411,0.00032500046155361416,0.03516839306551461,0.9992216138190668
Oracle-AMDM,0.01,1.1,10,4,1471773,0.06738400459289551,0.11856392306995611,0.040489188557000094,0.11829947548728642,0.04035761457450082,0.4921315655025799,0.785023151150955
